arrayLength	BubbleSort	InsertionSort	SelectionSort	QuickSort_lepsi	QuickSort_horsi	MergeSort	ShellSort	JavaSort	sorts:, 100, (,10, randomArrays x ,10, measurements), randomness 1.0
100	19608113	12965943	12774767	4601266	19292025	18022765	12430328	8460823
110	15675757	3490981	9823588	2694110	24598616	15383061	4850300	4230033
121	19177849	4209352	11776719	3169938	12988929	15599514	5673244	2143937
133	23416320	5151448	13932927	3631604	14778099	17064568	6873169	2414418
146	27684278	5944116	16616306	4198998	21539410	23978741	7530228	2773791
160	33719950	6966654	19432619	5074810	18567156	20259786	9122098	3110919
176	39823445	8319078	23037800	5795846	21200722	23432800	9828572	3705541
193	48507645	9750419	27542896	6836403	24134658	25128859	11746092	4181371
212	56679970	11280211	32364853	7553218	33882393	34070121	11847621	4659511
233	67983174	13909566	38546898	8840878	34771624	34219156	13621455	5438394
256	81743703	16391801	45650313	10351139	33784317	33594661	17469524	6073983
281	98769198	18882841	53947559	12103925	38625048	38623887	17298657	7078912
309	116498845	23205984	64932383	13585071	43148535	42175038	19087824	9978376
339	139324391	27497315	76301863	15835128	47435663	82372402	22356612	10539263
372	167210572	32587066	90601065	18195527	57065401	55601105	24481005	11930370
409	203379060	37783712	109486973	20563984	105314797	72242329	28015686	13673945
449	269686839	50097183	140769140	23174944	66325030	63604098	33723007	15475375
493	423774377	77640871	223091739	26770922	74800794	71081080	39490508	17538471
542	534711085	102639089	264890543	30350408	83588037	80707746	46257189	19744874
596	644736727	128594349	317398724	34413396	91219417	87946803	51299439	22492615
655	763647324	132182648	380309002	38453020	101265209	95979682	58282946	25599328
720	946793787	174908987	455797479	43626290	139132056	128391662	65225471	29134766
792	1142498148	190693927	547647154	49041331	127031964	121852179	73308167	32826899
871	1419953525	235113675	657218028	54995769	140386010	133916256	80270221	36974172
958	1733549769	283165773	790738538	62603779	153982181	144139839	88948665	41708002
1053	2100420050	355080145	950180944	69149002	171852442	161272214	104195325	47251391
1158	2564142027	424975097	1140869896	77873436	191072829	180520930	117344386	52877501
1273	3141277516	504484810	1372004095	86644589	213267399	196571762	127968315	58918554
1400	3822439065	610652434	1651991885	97385749	236979457	219770456	144457048	66697444
1540	4677955564	731884729	1989484125	108625343	260824862	244095150	183344906	75596150
1694	5687296410	889001217	2399669220	120578318	287847886	274793442	177259053	84484549
1863	6900559966	1080543402	2895696254	134836527	324292183	300010047	201423969	94545274
2049	8442621218	1295289609	3485409232	152717515	356363230	330143200	291694802	105447365
2253	10271466054	1546615392	4200179603	167302139	393019018	367852627	249381064	118271538
2478	12510263441	1877939790	5067526489	190115040	433866126	409157972	276545453	132060433
2725	15284400567	2262283404	6114787430	209118195	485198890	452253236	316701445	147529309
2997	18538267184	2733325649	7378230568	230266045	535725201	500681563	351642033	163627607
3296	22629076689	3314529558	8905927083	258164094	594985855	555396515	408076785	182622749
3625	22420713240	2826180615	7561041041	283796786	659029809	618270019	386774909	204231508
3987	29694219777	4653720891	9218703474	318777948	742763053	680468423	455295605	227392624
